product_name,series,mae_before,mae_after,mape_before,mape_after,improved
Biologics,STORE_013,7.72,7.72,3.33,3.33,False
Biologics,STORE_014,2.44,2.44,2.22,2.22,False
Biologics,STORE_015,4.4,4.4,2.22,2.22,False
Biologics,STORE_016,7.38,7.38,4.44,4.44,False
Biologics,STORE_017,12.63,12.63,5.56,5.56,False
Biologics,STORE_018,0.27,0.27,1.11,1.11,False
Biologics,STORE_019,6.38,6.38,3.33,3.33,False
Biologics,STORE_020,11.09,11.09,3.33,3.33,False
Biologics,STORE_021,4.51,4.51,2.22,2.22,False
Biologics,STORE_022,10.41,10.41,3.33,3.33,False
Biologics,STORE_023,1.79,1.79,1.11,1.11,False
Biologics,STORE_024,14.64,14.64,5.56,5.56,False
Biologics,STORE_025,4.33,4.33,2.22,2.22,False
Biologics,STORE_026,184.47,184.47,18257.28,18257.28,False
Biologics,STORE_027,4.91,4.91,2.22,2.22,False
Biologics,STORE_028,22.94,22.94,8.89,8.89,False
Biologics,STORE_029,6.53,6.53,2.22,2.22,False
Biologics,STORE_030,13.44,13.44,5.56,5.56,False
Biologics,STORE_031,9.81,9.81,4.44,4.44,False
Biologics,STORE_032,3.17,3.17,2.22,2.22,False
Biologics,STORE_033,5.14,5.14,3.33,3.33,False
Biologics,STORE_034,0.0,0.0,0.0,0.0,False
Biologics,STORE_035,4.23,4.23,1.11,1.11,False
Biologics,STORE_036,5.29,5.29,3.33,3.33,False
Biologics,STORE_037,8.46,8.46,4.44,4.44,False
Biologics,STORE_038,5.98,5.98,2.22,2.22,False
Biologics,STORE_039,5.91,5.91,2.22,2.22,False
Biologics,STORE_040,4.78,4.78,4.44,4.44,False
Biologics,STORE_041,11.32,11.32,5.56,5.56,False
Biologics,STORE_042,5.43,5.43,3.33,3.33,False
Biologics,STORE_043,7.52,7.52,2.22,2.22,False
Biologics,STORE_044,6.71,6.71,3.33,3.33,False
Biologics,STORE_045,1.09,1.09,1.11,1.11,False
Biologics,STORE_046,15.62,15.62,6.67,6.67,False
Biologics,STORE_047,4.86,4.86,2.22,2.22,False
Biologics,STORE_048,6.97,6.97,3.33,3.33,False
Biologics,STORE_049,0.0,0.0,0.0,0.0,False
Biologics,STORE_050,184.6,184.6,17842.26,17842.26,False
Bread,Total,301.44,301.44,5072.91,5072.91,False
Bread,Midwest,111.12,111.12,5030.55,5030.55,False
Bread,Northeast,150.82,150.82,990.37,990.37,False
Bread,Southeast,128.62,128.62,6495.48,6495.48,False
Bread,Southwest,110.13,110.13,6111.29,6111.29,False
Bread,West,123.33,123.33,8454.05,8454.05,False
Bread,STORE_001,20.01,20.01,7.78,7.78,False
Bread,STORE_002,18.41,18.41,6.67,6.67,False
Bread,STORE_003,7.73,7.73,3.33,3.33,False
Bread,STORE_004,1.76,1.76,2.22,2.22,False
Bread,STORE_005,9.26,9.26,4.44,4.44,False
Bread,STORE_006,9.16,9.16,4.44,4.44,False
Bread,STORE_007,3.04,3.04,2.22,2.22,False
Bread,STORE_008,23.56,23.56,2355.67,2355.67,False
Bread,STORE_009,5.91,5.91,3.33,3.33,False
Bread,STORE_010,0.38,0.38,1.11,1.11,False
Bread,STORE_011,11.52,11.52,4.44,4.44,False
Bread,STORE_012,9.96,9.96,3.33,3.33,False
Bread,STORE_013,15.43,15.43,109.08,109.08,False
Bread,STORE_014,4.39,4.39,2.22,2.22,False
Bread,STORE_015,13.81,13.81,5.56,5.56,False
Bread,STORE_016,2.86,2.86,1.11,1.11,False
Bread,STORE_017,69.79,69.79,6628.51,6628.51,False
Bread,STORE_018,0.61,0.61,1.11,1.11,False
Bread,STORE_019,18.26,18.26,6.67,6.67,False
Bread,STORE_020,24.64,24.64,863.41,863.41,False
